"dataset","method","split_id","lon","lat","med_age","total_rooms","total_beds","population","households","med_income"
"ca_housing","unilasso_loo_true",43,-42391.2225082661,-42571.8866431408,1240.86188441574,0,68.1271672411852,-36.2705888896627,51.365088782081,39051.8111284326
"ca_housing","unilasso_loo_true",44,-43729.0566590956,-43671.6030254923,1258.918928485,0,84.6854764605633,-32.3522157311238,24.1955548250371,38377.8835057639
"ca_housing","unilasso_loo_true",45,-43183.6666073227,-43408.8867361079,1136.02863328868,0,77.2191173746241,-42.7014440274153,50.7926800599367,38696.3623416181
"ca_housing","unilasso_loo_true",46,-41802.0164857988,-42490.7117573386,1198.59321701412,0,64.5588007183635,-46.5555454028508,78.279273780432,38747.4027528215
"ca_housing","unilasso_loo_true",47,-41400.972409469,-41844.3630423574,1282.18029808821,0,78.6228223447441,-33.0356343704117,30.0890886097438,39195.1979666395
"ca_housing","unilasso_loo_true",48,-41189.0293539327,-41265.6677397859,1295.74839821471,0,54.5961244604212,-35.8623386459193,65.5697547932106,39429.4328139248
"ca_housing","unilasso_loo_true",49,-42522.1320046698,-42705.3041210354,1310.97842099825,0,73.4282641876556,-44.2342892105511,65.7720149456803,38851.6069716135
"ca_housing","unilasso_loo_true",50,-43514.6411504176,-43364.9014239026,1176.13091010656,0,63.4900684671135,-39.6508090471939,60.3357556970809,38514.4915694785
"ca_housing","unilasso_loo_true",51,-42804.4642140728,-42851.1469114869,1255.59775833332,0,85.2254820613118,-40.4968860462803,40.2837651827795,39060.3080349353
"ca_housing","unilasso_loo_true",52,-43148.2128385756,-42940.1418138525,1151.25519732472,0,66.3637609375018,-33.136339580674,39.3239153111624,38764.6195119823
"ca_housing","unilasso_loo_true",53,-43302.9232586197,-43732.1126922629,1124.24251980081,0,66.2287576174934,-46.5822509005077,76.5731362541671,38610.6766418688
"ca_housing","unilasso_loo_true",54,-42024.4907198116,-42012.0358836556,1204.5652839458,0,64.9716880027455,-32.3146545798092,39.1987265390375,39191.5583124656
"ca_housing","unilasso_loo_true",55,-42832.2533756374,-42945.9053419768,1266.91833163786,0,73.7549425333073,-34.1923831874748,37.4031231793209,39070.1125139739
"ca_housing","unilasso_loo_true",56,-42796.0770611266,-43148.4967689212,1187.52840131687,0,62.8062634027761,-34.9957970419777,51.6166372719262,38594.8101015658
"ca_housing","unilasso_loo_true",57,-43943.8938455875,-43755.2820953679,1222.03142769382,0,79.4526211769817,-43.8498097537795,56.7247869413105,38751.6114497756
"ca_housing","unilasso_loo_true",58,-43277.7615634094,-43245.5243822207,1261.90153675347,0,79.4595422668382,-33.2712043247966,30.9336522761148,38227.6789385119
"ca_housing","unilasso_loo_true",59,-43217.5690111653,-43447.4417334284,1160.12028745915,0,81.7170131367655,-40.1549329355667,42.0211262093327,38489.5263889961
"ca_housing","unilasso_loo_true",60,-42230.4519321828,-42244.1897363017,1200.98870713041,0,69.6572282802027,-34.334016649453,41.3334711836421,38807.8292115407
"ca_housing","unilasso_loo_true",61,-41713.2414526092,-41585.7040167089,1148.82091190973,0,56.1674233008392,-33.5715240118988,55.1869258997798,38457.7151416491
"ca_housing","unilasso_loo_true",62,-42244.2015427216,-42441.3661023523,1263.59994064149,0,55.9514794572498,-34.1886099324712,55.5755119259271,38198.9331114147
"ca_housing","unilasso_loo_true",63,-44523.3388205678,-44677.5178888257,1117.83963517716,0,73.2719834515882,-39.852063115368,49.8761946672972,38206.9918922896
"ca_housing","unilasso_loo_true",64,-41486.2401108166,-42133.6977833773,1241.11254146369,0,73.9213829658484,-45.649349646516,63.8799521030293,39286.1512048215
"ca_housing","unilasso_loo_true",65,-42629.8275158974,-42540.0095664803,1213.12568063433,0,65.8016228872359,-40.3119519794143,61.8698279037153,38907.7291019979
"ca_housing","unilasso_loo_true",66,-43594.3725206353,-43296.3418960667,1167.17727457893,0,72.0771733744112,-32.1171009202192,33.8307256288475,38300.8380707539
"ca_housing","unilasso_loo_true",67,-43285.9545950156,-43077.6985477287,1211.81634228788,0,76.6518774014919,-42.1811969122831,53.6642073542176,38113.1000838584
"ca_housing","unilasso_loo_true",68,-42113.5177506739,-42368.9888702717,1117.56560010748,0,69.5186239160291,-43.0114168077328,61.8675698366292,38879.1612373821
