"dataset","method","split_id","lread","lwrite","scall","sread","swrite","fork","exec","rchar","wchar","pgout","ppgout","pgfree","pgscan","atch","pgin","ppgin","pflt","vflt","runqsz","freemem","freeswap"
"computer","uni_loo",53,-0.054848038741748,-0.0703076775074992,-0.00354547319641053,-0.0302765703001873,-0.0320833417754337,-2.71881729013626,-1.03486437560587,-2.40142803794735e-05,-3.70924813615623e-05,-0.738757790666457,-0.242057855138013,-0.116471634497412,-0.0460533477533382,-0.521141878298927,-0.323334041273178,-0.197525752181144,-0.060247250495255,-0.0410365228932701,-0.0928217633838341,0.00198671766095063,2.98080675748423e-05
"computer","uni_loo",54,-0.0424072198315421,-0.0538213765082799,-0.00356386815868228,-0.0326399711454946,-0.0361207235242025,-2.62359722478694,-1.01039271881174,-2.4073783271631e-05,-3.64423934214123e-05,-0.666805104352361,-0.230610037831519,-0.108315431702272,-0.0406833002599945,-0.236452716670442,-0.282655346735154,-0.173921477575682,-0.0585561463568724,-0.0391461802138069,-0.105134749741582,0.00202565349579367,2.99975651004443e-05
"computer","uni_loo",55,-0.0547943688610496,-0.0683025830895,-0.00360984564294891,-0.0300440904963126,-0.031377189448984,-2.65962287103628,-1.00204887316991,-2.56971293515696e-05,-3.67219238392373e-05,-0.771138337934427,-0.245521964301484,-0.125225674286044,-0.0475853932580847,-0.379560299607948,-0.316151696049503,-0.184965790165735,-0.0592542789434102,-0.040271258349515,-0.0977939846478226,0.00201050804492874,3.00088227054973e-05
"computer","uni_loo",56,-0.0630113145191296,-0.0667768600235895,-0.00364730248782424,-0.0289888566848627,-0.0286580067708982,-2.70042188553968,-1.00236586583131,-2.49926237165237e-05,-4.00795885027366e-05,-0.792059495289529,-0.281446072086699,-0.136138466559711,-0.053102281365122,-0.206164146955728,-0.321593947829469,-0.203093895717553,-0.0612489237058302,-0.0407711865838502,-0.0841585412138359,0.0019138386112283,2.84716982832644e-05
"computer","uni_loo",57,-0.049655795467752,-0.0728846728699068,-0.00358167704943157,-0.0311966109404871,-0.0304893746951211,-2.72745937801729,-1.03957548048549,-2.77902093432942e-05,-3.99875509827723e-05,-0.81702807793322,-0.26995293614793,-0.122860653828498,-0.0476210253605178,-0.607108014778496,-0.325807141676951,-0.198092120194932,-0.0606392520266778,-0.0405579103940147,-0.0870238381949976,0.00197489795023906,2.93695748721831e-05
"computer","uni_loo",58,-0.0751241827712465,-0.065321305674419,-0.00353840990615342,-0.0270197670699325,-0.0250492550129546,-2.65617783087088,-0.97580676862512,-2.70313650715597e-05,-4.20317030392117e-05,-0.799036404353533,-0.26277317159729,-0.12595227569531,-0.0468001051454227,-0.395726662943609,-0.332578275903644,-0.208936224084896,-0.0585750258433452,-0.0398826946710342,-0.0955181737010339,0.00199278680632511,2.96321612735502e-05
"computer","uni_loo",59,-0.0550175950320762,-0.0708853269745925,-0.00362426645414523,-0.031274607380088,-0.0312582037005251,-2.60140143269503,-0.96139781869279,-2.59320429501434e-05,-3.99216466811193e-05,-0.882752900163546,-0.271971397773734,-0.126673200691274,-0.0471381633572009,-0.266442935691116,-0.316010088203817,-0.195576441293489,-0.0574405123080701,-0.0389956128786879,-0.0976849828995215,0.00211730526138856,3.12996972460944e-05
"computer","uni_loo",60,-0.0481507309712207,-0.0647684666404775,-0.0035641837183591,-0.0329887587310297,-0.033864065030255,-2.70074818403528,-1.04424393627304,-2.64931917751189e-05,-3.86760148048e-05,-0.815693788295454,-0.255048040768681,-0.114225017616871,-0.0448892648875569,-0.311958920627492,-0.311959127570516,-0.182470809987589,-0.058969853079501,-0.0404573129248707,-0.0971102801989434,0.00200525903664207,2.94903561261666e-05
"computer","uni_loo",61,-0.058355208659489,-0.06281672002468,-0.00366973828052293,-0.0347455913234866,-0.0387433870039102,-2.7029821795262,-1.04302294637209,-2.53317051300767e-05,-3.53318800646608e-05,-0.7651167479457,-0.261842658940515,-0.126890444064008,-0.0497596525796373,-0.536921236107245,-0.331784046068545,-0.198566241029924,-0.0607150195722429,-0.0408998104202953,-0.0872458337176843,0.00201305885816682,2.95860084700095e-05
"computer","uni_loo",62,-0.0520234063560007,-0.065134547963354,-0.00345721342848643,-0.0303161067400551,-0.0307615269809624,-2.59738070014986,-0.95533559124259,-2.57791990672214e-05,-4.12318720538864e-05,-0.724578009872714,-0.237104761177522,-0.117480845203038,-0.0472001581179004,-0.472978159361835,-0.305174133762874,-0.193963752146615,-0.0582160026765024,-0.0395817852063965,-0.0861111564761678,0.00202241329025612,2.96134515613758e-05
