"dataset","method","split_id","carat","depth","table","x","y","z","cut_Good","cut_Ideal","cut_Premium","cut_Very.Good","color_E","color_F","color_G","color_H","color_I","color_J","clarity_IF","clarity_SI1","clarity_SI2","clarity_VS1","clarity_VS2","clarity_VVS1","clarity_VVS2"
"diamond","uni_loo",41,7755.13776809531,-36.32399872645,236.221016953399,3138.11631098294,3105.83372772197,4726.40282841517,-83.8886699126566,-817.117009073839,987.698513532226,13.5822261889536,-1075.48628212557,-210.731584478616,-10.5140571453126,743.013193550423,1257.18685760325,1530.16393363115,-996.369322738888,11.6572102621844,1401.29661810499,-15.8440636877224,-26.8145717274239,-1497.49944703307,-777.711703764535
"diamond","uni_loo",42,7748.97282471932,-24.7875346603222,242.19733200666,3145.74729418446,2942.10669651962,5002.60619713284,20.5543004339537,-878.713000272999,939.346411294195,78.931915478821,-1052.46841084939,-203.882370251117,-9.96909632085727,712.732472892238,1360.0827093348,1513.84877704584,-1072.99616749957,121.72778874262,1376.36866164196,-190.091732173141,-35.1107870326006,-1459.07463921272,-743.107153654804
"diamond","uni_loo",43,7744.1792798603,-21.0212952432707,229.026265536216,3143.69226579908,2938.50488326526,4727.98570319337,40.9359613155081,-802.662689384314,862.23809639372,44.7291502910371,-1044.53793021127,-255.439011842031,132.362823527672,645.625735224615,1326.12870656705,1514.85457572237,-1193.19103448276,58.5616934264527,1330.44750335871,-128.254459032491,15.5421860409027,-1500.73347792805,-672.08236291184
"diamond","uni_loo",44,7726.09047550137,-27.0756573980477,238.81734808925,3141.84823473803,2935.95476731208,4725.04645011889,34.4345130167711,-819.528301153545,850.803410331728,77.2952358346769,-1072.64481794191,-202.775311691817,100.576532476916,655.020357417249,1211.05702379482,1511.22126365594,-1224.13053612049,158.458335496264,1430.56681091517,-121.213859210733,-100.431841309833,-1542.1468973747,-726.940862531278
"diamond","uni_loo",45,7722.63014281071,-32.259179321385,231.806341412972,3138.74427117897,3171.43764195423,4728.10966836914,-2.71473731887305,-792.412508950524,870.766871843204,40.8646356601634,-1015.55041686577,-268.133407497106,93.705404483223,660.173787826626,1280.74570719596,1503.28577965249,-1093.42732332495,31.5343783421062,1380.0657770834,-78.2521570160873,-32.7174992039422,-1495.16540623749,-723.640140024535
"diamond","uni_loo",46,7737.18104577192,-36.258470418641,224.927672641798,3128.92604526177,3096.70813036294,5010.59543335397,3.17874415842825,-814.232718985072,892.344014136229,71.037636453178,-1050.91376301285,-276.085779650865,21.8075304884004,677.194037679738,1299.1136947571,1582.71365616954,-1158.57709726613,126.61667508953,1431.80693572101,-60.6653191087028,-60.4111278211142,-1583.67464110343,-772.631543451822
"diamond","uni_loo",47,7767.09271340041,-24.8171483653373,222.867020390484,3155.26895356818,2947.55435046802,4734.58608571571,-3.31838025295825,-755.493014346694,817.852572923941,71.1258054899048,-1066.20382141475,-208.275375543134,111.420961383763,670.139956638632,1302.01104851288,1393.32495786326,-1250.53552617114,48.1184623785263,1378.01272935575,-74.9397963530439,16.9775062180252,-1487.06648998908,-692.533704864554
"diamond","uni_loo",48,7770.21984256693,-48.6994471256332,223.554923126894,3148.71640940911,3112.81156376233,4730.88903397409,62.7847505086604,-776.401594225784,851.79326049346,54.6422984641487,-1047.91304974529,-236.387419786984,96.8659027940834,653.500163415327,1226.93010809013,1486.96493178797,-1157.58226495397,127.522175548748,1345.01447730736,-91.6971352889577,-75.1913807898078,-1569.29118986552,-643.09997024455
"diamond","uni_loo",49,7762.40315372841,-39.3839690185139,236.343658662963,3157.42895451442,2897.67806449777,5050.67845604696,9.46466428775804,-815.504895085449,884.594974822596,67.5686350157107,-1001.00419834982,-206.444710178104,70.9345635214452,658.806779898094,1270.72137211748,1550.12403592286,-1082.01592676316,49.9324819885163,1352.91704028603,-108.317489269816,8.71936568256357,-1482.58444996645,-720.730530545849
"diamond","uni_loo",50,7739.15799154888,-33.4076186500879,230.122465313647,3144.10306622343,3172.02054981102,5036.24005879753,53.0247985320973,-826.478051127507,876.135625681462,114.260494666057,-1107.07463670605,-245.727092194947,142.962929362361,680.037912432361,1339.57800833371,1391.68724111534,-1260.43937331612,119.188751719996,1363.10287130167,-62.034241857953,-103.666875076051,-1483.08767678373,-674.075053282047
