"dataset","method","split_id","LATITUDE","LONGITUDE","LND_SQFOOT","TOT_LVG_AREA","SPEC_FEAT_VAL","RAIL_DIST","OCEAN_DIST","WATER_DIST","CNTR_DIST","SUBCNTR_DI","HWY_DIST","age","avno60plus_1","month_sold_2","month_sold_3","month_sold_4","month_sold_5","month_sold_6","month_sold_7","month_sold_8","month_sold_9","month_sold_10","month_sold_11","month_sold_12","structure_quality_2","structure_quality_3","structure_quality_4","structure_quality_5"
"miami_housing","uni_loo",31,95196.5834613195,695940.193033967,18.8025033682108,259.289392004891,11.3365656949704,-3.75577038602921,-5.03932487142585,-3.36641920844444,-2.72884221426354,-5.40115948250507,12.6217434793115,-1828.99111776764,-64516.8779228351,-9964.97505231539,-14810.3870056952,4929.87730371975,24256.4142846719,20218.0375153042,-8666.11857876181,4590.09147858741,-8527.37632046944,-9403.47594681817,9163.49077331287,-5198.26962459079,-184460.454145136,1508432.44853364,-35576.3470929283,405755.050105661
"miami_housing","uni_loo",32,120186.848851399,706950.369543076,19.448889766313,259.755249900153,11.5507265878512,-4.95321463147973,-4.96021300857722,-3.52232150074123,-2.75133285669491,-5.38809916733065,11.7663507200044,-1821.81685468613,-61728.6868572603,8117.85938414179,-2861.3659567684,-4919.02427326431,27041.8689799783,22673.1168483646,5041.10396374452,-6340.2402167766,-15111.6917465384,-13730.6858287311,12214.4948572292,-14147.192937406,-187120.229709745,1410147.82825525,-39925.3523971145,420055.288177066
"miami_housing","uni_loo",33,103989.516688632,674383.762906633,19.2127225610206,263.765086577138,11.4118300159613,-4.50127441080812,-4.9677953699846,-3.28697422790247,-2.64841777631551,-5.2635149073101,11.6178853464985,-1938.44274853334,-70085.7783820832,-6121.34628916814,-3802.46904001566,20663.3446287519,39957.6360640011,13535.4825090421,-1665.81177606178,-24273.4624948436,-12834.4837641956,-7992.53482947541,5871.0108643643,-17691.4247193131,-177440.584862461,1246445.64340115,-44397.6788521582,402927.452354157
"miami_housing","uni_loo",34,131451.43117887,779957.311449787,19.1753417580669,258.606004958522,11.5229653638932,-3.96681074093937,-5.22101568877522,-3.59178122482963,-2.7552239192762,-5.28419946486253,12.7174861570762,-1625.10916904564,-82033.7752732011,12613.8703989502,-33520.2887040041,7519.35049358483,41161.0073699685,10271.4324615286,1900.28393892842,-3245.85171961037,-8690.88026633276,-10389.6287344964,-3914.40589273941,-7906.32363121463,-188316.200480852,1613518.44573811,-33125.1201825039,398311.874652957
"miami_housing","uni_loo",35,114957.865002156,712242.194375621,19.1735090426442,267.027939908491,11.4612274341902,-3.96116109278666,-5.1113088587107,-3.45649754420171,-2.76073619479509,-5.36810253114018,12.1561029372744,-2026.6582005064,-68118.2114978206,-15318.2716871464,5385.85416745212,-27893.3281298069,31109.2595810618,33496.3434303086,-1768.17744195061,-11151.5852720735,2421.12599434201,-14314.6237038792,15004.8904282898,-14211.6987097243,-182715.097195384,1394263.5113571,-41481.316006426,402932.92691238
"miami_housing","uni_loo",36,108263.058185927,698380.003924229,17.8859387066208,260.644918437952,11.2151781075421,-3.81665640918749,-4.8999216299369,-3.40259000249342,-2.68204027058164,-5.31091265168348,11.7517246370328,-1674.22355354567,-55392.7488218755,18.0557983467313,-9353.83518010357,7150.07033590915,5515.59861020558,13785.6658878462,4076.25771187456,2582.43415483536,-9021.75569036535,3859.46645578142,853.829150855605,-13351.5642753807,-181408.418112842,1186128.13166595,-35054.2003097152,390389.735597697
"miami_housing","uni_loo",37,74542.8178488134,639040.66959312,18.8575785251777,255.319742364282,10.9671187299476,-3.53768180539975,-4.93901382181472,-3.05252034486635,-2.64242429327646,-5.38264544203755,12.2473800487078,-1797.99132723316,-58369.0334037628,-4068.50577912854,-23302.3059139112,3904.82890151302,34476.8686624322,-1203.75156099906,2987.61119671292,541.100075174093,-2217.47661342764,2405.08513819838,11382.3808766855,-17655.6121193489,-180299.740525512,1218053.34205231,-30740.0493254711,389969.387073936
"miami_housing","uni_loo",38,120196.136408762,765802.220422834,18.6946804887007,265.691894954321,11.8456328668192,-3.81282536052522,-5.2259648787657,-3.65135161530501,-2.81786311254991,-5.48141159069058,12.2282186119506,-1882.70430403779,-68486.310114929,-5391.97700026456,-11948.0140626245,-5256.76986139326,34244.6371382481,29292.9231639578,-9546.50809204207,-19066.9956345937,-8748.71601819459,12250.927308168,1776.39070237364,-3295.82032910018,-188458.859984912,1458782.9186314,-45508.2811855128,410909.007024639
"miami_housing","uni_loo",39,98236.4893381481,702139.177963795,18.8655842182169,261.883925161563,11.2684863839551,-3.78820393840699,-4.98571162773023,-3.28794985227464,-2.65008792018798,-5.22924994568171,12.7916966390695,-1752.36564984278,-62960.3312872234,-6549.06774270102,-14590.1937776325,2372.40333126358,32146.020228392,13376.6617200566,-11846.1318169401,-2823.61382124826,-994.717679562758,-9997.77561902899,2993.4602488547,-12117.4160248254,-184907.588508188,1476475.05921242,-37120.8660069063,396879.801002138
"miami_housing","uni_loo",40,97039.7749016089,683370.565121294,17.7960550650616,265.636581284697,11.4474618667813,-3.49854445984234,-5.00293143759772,-3.5160415770498,-2.71006299135901,-5.39105721134147,12.372105062967,-2042.63559804023,-60031.8416169151,-13311.2166253217,-2768.686290766,906.470370204741,26457.2391611687,8960.78145176264,-5676.81857787851,-3482.04733060548,-8245.5952494331,-10517.6179401132,16182.9457395706,-3809.90799133361,-186887.307698677,1509852.1483398,-38197.6589065974,412192.981283076
