"dataset","method","split_id","age","bmi","children","sex_male","smoker_yes","region_northwest","region_southeast","region_southwest"
"insurance","unilasso_loo_false",3,267.026150505477,317.772690212318,388.310740922004,0,24205.4901303984,0,0,0
"insurance","unilasso_loo_false",4,254.979665612562,331.674057849501,523.990108001328,0,23491.1343007839,0,0,-498.196833180406
"insurance","unilasso_loo_false",5,252.17296655554,281.844484139178,432.821580247189,0,24227.9592597323,0,0,0
"insurance","unilasso_loo_false",6,269.061788020346,276.074101250183,467.357624565586,0,23198.914406849,0,0,-177.42771975038
"insurance","unilasso_loo_false",7,251.021447187464,299.317284046664,531.665034727598,0,23467.077486469,0,0,0
"insurance","unilasso_loo_false",8,247.44873922811,347.840625408945,338.20047298911,0,24767.3015548173,0,0,0
"insurance","unilasso_loo_false",9,286.721274926361,297.401030683767,435.330761894117,0,23213.9375715714,0,0,0
"insurance","unilasso_loo_false",10,252.657541620903,338.78624101153,570.617302487633,394.677126716582,23937.4127604232,0,0,-586.008820384815
"insurance","unilasso_loo_false",11,235.850721624359,396.574652225771,366.123045683005,0,23054.6339318122,0,0,-219.949000852123
"insurance","unilasso_loo_false",12,250.536013394511,324.839168361622,0,0,23432.5478208359,0,0,0
"insurance","unilasso_loo_false",13,245.093823869902,345.593267694499,346.094124550196,0,22889.6318820304,0,0,-466.968398693428
"insurance","unilasso_loo_false",14,262.651079979827,297.739776802374,560.488463386536,0,22646.5999026433,0,0,0
"insurance","unilasso_loo_false",15,261.132803974321,310.909621291251,345.867833690176,0,23475.7064960826,0,0,0
"insurance","unilasso_loo_false",16,269.819911407298,281.028488491083,474.275706142972,0,22179.5386672572,0,0,0
"insurance","unilasso_loo_false",17,233.986003798303,349.007628532088,265.428346713299,0,24060.4083215725,0,0,-653.120983017516
"insurance","unilasso_loo_false",18,275.14436514577,274.689469253076,0,0,24669.3253017711,0,0,0
