"dataset","method","split_id","u1","u2","u3","u4","u5","u6","u7"
"debutanizer","uni_loo",70,0.0983180292753728,-0.589896018468003,-0.179330307071948,0.188163218699201,-0.240628167840182,-0.0412541159699742,-0.0227844749719118
"debutanizer","uni_loo",71,0.0637015463153038,-0.555999328398311,-0.200877969167557,0.143231593829973,-0.264681973053492,-0.0709626216122969,-0.0493625513723315
"debutanizer","uni_loo",72,0.0889659169814748,-0.76753584273298,-0.210409973744831,0.164109488111658,-0.281429674925369,-0.086380035766059,-0.0627683322555929
"debutanizer","uni_loo",73,0.0713676783077525,-0.545419402028409,-0.229713304148806,0.208024847529017,-0.27334948684273,-0.0429366101711834,-0.0202488681942998
"debutanizer","uni_loo",74,0.148330213430255,-0.588011355565479,-0.210789336318374,0.181311563315691,-0.27974111961034,-0.0572127479294371,-0.0327555785663737
"debutanizer","uni_loo",75,0.0761935340474158,-0.536886802421575,-0.191184753997129,0.197499929512283,-0.272848651605027,-0.0546865134901809,-0.0328216366060216
"debutanizer","uni_loo",76,0.0817738776898941,-0.474920347807444,-0.192100040713478,0.198898325597718,-0.302775149295521,-0.077262636533888,-0.0534021179116568
"debutanizer","uni_loo",77,0.180517307754506,-0.578314370798392,-0.189680650903579,0.194734505735504,-0.225892373645919,-0.0352553903092234,-0.0202315769258809
"debutanizer","uni_loo",78,0.0619280135317502,-0.452135932460985,-0.193396939233666,0.189486782451629,-0.260363987512771,-0.0481351796670827,-0.0272102341899426
"debutanizer","uni_loo",79,0.0949596801144231,-0.650560615257039,-0.190268038994979,0.154064817681912,-0.302015075257498,-0.0913341082575404,-0.069910703653192
"debutanizer","uni_loo",80,0.129342847005952,-0.641056708068512,-0.201352107578963,0.146237234164525,-0.293118051954241,-0.0840414474454251,-0.062356058818526
"debutanizer","uni_loo",81,0.138142983614342,-0.688590614956674,-0.201504651449341,0.196867906935551,-0.223342063643953,-0.0551757003973318,-0.0319188362401987
"debutanizer","uni_loo",82,0.0365040732379218,-0.657331630510217,-0.205886544558083,0.188722557572668,-0.329671137615678,-0.0680416807009042,-0.0495595270777102
"debutanizer","uni_loo",83,0.174792233499638,-0.586665936687772,-0.179779500946874,0.203102028587327,-0.237818546026842,-0.0332874072832777,-0.0155809466868296
"debutanizer","uni_loo",84,0.0523411010798455,-0.365593418452617,-0.170618095086949,0.20130024237938,-0.284335730475612,-0.062814251063874,-0.0405217247043117
"debutanizer","uni_loo",85,0.0922454868633845,-0.668229839890995,-0.194511488506328,0.177388557370838,-0.246222364267769,-0.0611507524975056,-0.0340128706666352
