"dataset","method","split_id","AT","V","AP","RH"
"powerplant","unilasso_loo_false",2,-1.63740890266886,-0.325949355774587,0.146323663026603,0
"powerplant","unilasso_loo_false",3,-1.6370425452487,-0.324405741826136,0.165732869241744,0
"powerplant","unilasso_loo_false",4,-1.62885322629767,-0.325867874173307,0.172431361953454,0
"powerplant","unilasso_loo_false",5,-1.62023504573181,-0.341046470798599,0.158467214558852,0
"powerplant","unilasso_loo_false",6,-1.64476685400942,-0.320520932775,0.154957832085722,0
"powerplant","unilasso_loo_false",7,-1.65826606733585,-0.314025485317807,0.160778837910511,0
"powerplant","unilasso_loo_false",8,-1.62603683950929,-0.328890584458438,0.15922258965255,0
"powerplant","unilasso_loo_false",9,-1.62879489765547,-0.324625675480664,0.159554425383737,0
"powerplant","unilasso_loo_false",10,-1.63584123981776,-0.329391101659785,0.170770410664989,0
"powerplant","unilasso_loo_false",11,-1.63478534601783,-0.32488374168817,0.167282247704895,0
"powerplant","unilasso_loo_false",12,-1.61969848296282,-0.330864757915487,0.164366298378885,0
"powerplant","unilasso_loo_false",13,-1.63782757839095,-0.326738016493517,0.154616951052334,0
"powerplant","unilasso_loo_false",14,-1.63080572237381,-0.329760407858169,0.156190171601742,0
"powerplant","unilasso_loo_false",15,-1.63547229128938,-0.321161302631457,0.165077217892479,0
"powerplant","unilasso_loo_false",16,-1.63608414767475,-0.325309997166792,0.16248589509098,0
"powerplant","unilasso_loo_false",17,-1.64048628972345,-0.334621210549131,0.157535780985184,0
"powerplant","unilasso_loo_false",18,-1.65497732433489,-0.318751941651166,0.149566618669554,0
"powerplant","unilasso_loo_false",19,-1.63333227776872,-0.327105595010942,0.146640898774553,0
"powerplant","unilasso_loo_false",20,-1.64736140612988,-0.318805076696917,0.167661248184363,0
"powerplant","unilasso_loo_false",21,-1.63790598723743,-0.326154321934499,0.144807416073879,0
"powerplant","unilasso_loo_false",22,-1.62393365751433,-0.333146937365175,0.148978790817365,0
