"dataset","method","split_id","DateTime","Temperature","Humidity","Wind.Speed","general.diffuse.flows","diffuse.flows"
"power_consumption_of_tetouan_city","uni_loo",80,0.11280762012547,543.223663867392,-128.394228566799,522.357549859608,5.11410800148484,4.71625967899339
"power_consumption_of_tetouan_city","uni_loo",81,0.109695510321068,544.475770433677,-132.08629753803,491.342488150019,5.02347548928074,4.56143871532089
"power_consumption_of_tetouan_city","uni_loo",82,0.110496638431354,540.810462001987,-130.320196191362,522.237759599892,5.14746457384167,4.69868073020645
"power_consumption_of_tetouan_city","uni_loo",83,0.111321265045858,543.153802247907,-135.893808200975,513.137504345448,5.00468144952236,4.48358010758442
"power_consumption_of_tetouan_city","uni_loo",84,0.107218447463444,539.809945306708,-130.737650925628,509.841377498747,5.03451134323331,4.73348712998651
"power_consumption_of_tetouan_city","uni_loo",85,0.111076740321023,546.097142197109,-131.254181335294,544.540464498281,5.05813547999996,4.55435619763956
"power_consumption_of_tetouan_city","uni_loo",86,0.105995296213449,535.070806745906,-132.765117923564,491.274800461638,5.07835360080253,4.79552477530139
"power_consumption_of_tetouan_city","uni_loo",87,0.109702565510668,541.040049009909,-132.853595564416,502.239450309155,5.11429120983875,4.58681464992298
"power_consumption_of_tetouan_city","uni_loo",88,0.109310561311028,542.088674719885,-129.829252156195,513.959268764601,4.92574869165016,4.30499197217621
"power_consumption_of_tetouan_city","uni_loo",89,0.111012816910109,543.311657415401,-132.904379070751,527.182033573368,4.9939514368398,4.52963784850941
"power_consumption_of_tetouan_city","uni_loo",90,0.106001488915719,535.454045688808,-130.317058930392,497.635383924295,4.98384090242279,4.37370945144438
